,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
68,9567,Salmonella,2011-12-15,2011-12-21,5,NY,New York,Albany,,,,,,,,,,,,,,,,,,,34.54285714,1018.128571,9.071428571,0.022857143,67.1112543,11.0,6.628571429,38.09452083731601,21696.37064237456,57639.57773849591,4.914602783216139,0.1973651785576054,581.3821743209807
69,9619,Salmonella,2011-09-18,2011-09-20,6,VA,Virginia,Charlottesville,,,,,,,,,,,,,,,,,,,62.28333333,1023.653333,1.663333333,0.033333333,77.80400186,25.3166663,6.526666667,27.525073216271934,8965.573142643565,43595.526034294475,8.684161477600043,0.13680382317656967,4161.486269210029
70,9734,Salmonella,2012-01-12,2012-01-21,7,MN,Minnesota,Ramsey,,,,,,,,,,,,,,,,,,,13.09,1017.62,8.91,0.002222222,68.74439863,27.13,7.42,34.59878117463529,43983.12695183025,52730.218772011365,5.319329083980901,0.4008374023766663,3329.515406479961
71,9742,Salmonella,2011-07-02,2011-11-17,6,MT,Montana,Cascade,Fergus,Judith Basin,Wheatland,,,,,,,,,,,,,,,,57.89576978,1013.960763,8.228938849,0.027954436,42.2916211,131.6858961,7.895827341,46.93672830459793,1677.227594299055,38293.59743966658,5.106553671392936,5.055531226070036,8.801543965341768
72,9785,Salmonella,2011-12-28,2011-12-28,5,OH,Ohio,Franklin,,,,,,,,,,,,,,,,,,,33.15,1012.85,11.525,0.26,71.71314795,31.4,8.225,33.39932700027364,69233.44713249155,50037.21948993855,5.813260800139204,0.14486352021221136,2167.5748063914343
73,9874,Salmonella,2011-08-14,2011-08-14,5,MD,Maryland,Prince George's,,,,,,,,,,,,,,,,,,,76.5,1010.4,4.9,0.445,83.73521873,10.1,5.6,34.735718476783674,54788.781776057745,72988.9625632925,3.903860320273931,0.11587637854284483,1774.4824590434578
74,9878,Salmonella,2012-01-02,2012-01-05,9,MD,Maryland,Frederick,,,,,,,,,,,,,,,,,,,27.0125,1014.3,10.3875,0.0175,56.57382647,14.95,7.1,38.302451875474894,13117.65799687736,82677.82017983112,3.8743427362782126,0.2398130380134969,351.01909496731196
75,9902,Salmonella,2011-06-17,2011-09-14,34,AR,Arkansas,Arkansas,Craighead,Cross,Desha,Drew,Greene,Jackson,Lee,Mississippi,Phillips,Pulaski,Sebastian,St. Francis,,,,,,,82.13432877,1013.062446,5.553147131,0.069623687,64.8321278,8.783078,6.796085249,37.59067285944552,4197.086807745049,34424.38134585857,5.46401595843786,3.0510279348311413,92.34011722528254
76,10505,Salmonella,2011-09-19,2011-12-07,26,NJ,New Jersey,Atlantic,Monmouth,Ocean,,,,,,,,,,,,,,,,,55.48397917,1018.105625,5.378791667,0.056152083,71.19129351,3.771042,5.988125003,41.000558208072526,18664.522908075887,66472.73519801992,7.0534293917410515,0.2902765987841818,914.6912978423219
77,10542,Salmonella,2011-09-03,2011-09-05,20,WI,Wisconsin,Milwaukee,,,,,,,,,,,,,,,,,,,65.16666667,1014.533333,8.411111111,0.066666667,71.89448969,25.583333,7.255555559,33.705923319434184,38114.443433829576,43275.676114404225,5.892922265371712,0.3907424736369532,3896.1673001014046
