,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
243,674,230790,Norovirus,2015-02-24,2015-02-24,11,WI,Wisconsin,Fond du Lac,,,,,,,,,,,16.7,1010.7,15.2,0.0,53.05802687,31.2,3.8,40.93474620427171,4256.798100299799,54667.471956530295,5.674767101915855,1.9788711422905536,141.38713196607227
244,676,246446,Norovirus,2015-02-27,2015-02-27,35,OR,Oregon,Clackamas,Deschutes,Klamath,Wasco,,,,,,,,42.71,1009.5875,4.716,0.125,80.59713716,83.7915,7.53,41.670497580243946,11302.795254869736,49302.943202448514,5.930958444597525,3.3822540180908653,70.51258384249375
245,677,246456,Norovirus,2015-01-25,2015-02-25,181,VA,Virginia,Prince Edward,,,,,,,,,,,31.7025,1018.428125,5.658125,0.0575,52.05039194,24.7303125,6.8253125,31.038425332364465,2895.85049862315,37583.21600001291,6.044369630006349,1.252184787819956,66.07582293595712
246,683,262190,Norovirus,2015-02-25,2015-02-27,10,OR,Oregon,Washington,,,,,,,,,,,48.3,1020.566667,2.766666667,0.056666667,83.38094589,8.2,5.833333333,35.94246373370974,41202.961286145146,65474.875633881406,5.500083921575598,1.131682517768697,757.7497885153629
247,702,262566,Norovirus,2014-12-27,2014-12-27,16,WA,Washington,King,,,,,,,,,,,43.475,1024.3,5.8,0.045,84.21681477,6.9,8.45,37.19924641382693,131641.04139639577,73016.60402609303,5.616927783371423,0.2955903619143119,949.4373309182552
248,703,262627,Norovirus,2015-02-27,2015-02-27,11,SC,South Carolina,Lexington,,,,,,,,,,,42.6,1024.25,2.0,0.1,70.52770256,8.05,3.55,38.24803163042686,17964.08978764587,54097.40341646973,5.3706411855155896,0.6643442068792836,387.4995107600113
249,719,263183,Norovirus,2014-12-03,2014-12-03,16,MA,Massachusetts,Middlesex,,,,,,,,,,,37.0,1017.4,4.0,0.42,97.27284584,0.4,9.0,38.50661217900141,100424.6766225269,83382.27525793892,4.4122076849778304,0.0818619247399519,1881.1660683220912
250,721,263192,Norovirus,2014-12-16,2014-12-17,9,MA,Massachusetts,Suffolk,,,,,,,,,,,41.625,1014.2,2.575,0.0825,85.98996111,0.4,6.975,31.89263581393574,74086.82499566628,54145.71138663274,7.329756253003826,0.1366391549294525,12853.68296634435
251,768,266082,Norovirus,2014-12-27,2014-12-27,16,WA,Washington,King,,,,,,,,,,,43.475,1024.3,5.8,0.045,84.21681477,6.9,8.45,37.19924641382693,131641.04139639577,73016.60402609303,5.616927783371423,0.2955903619143119,949.4373309182552
252,785,266724,Norovirus,2015-12-08,2015-12-08,39,MI,Michigan,Oakland,,,,,,,,,,,36.5,1017.1,5.1,0.0,93.66264159,30.55,4.3,40.79478468578803,71197.05222860535,67371.69767740366,5.136084578002557,0.1021524461954058,1416.4872909825035
